well	time	measure
B4	16.2	201.590961
B4	17.2	183.025821
B4	18.2	164.611953
B4	19.2	152.145378
B4	20.2	137.317818
B4	21.2	124.941267
B4	22.2	112.768293
B4	23.2	97.545327
B4	24.2	85.93662
B4	25.2	74.85951
B4	26.21	64.425603
B5	0.54	930.38451
B5	1.54	720.39693
B5	2.2	248.265138
B5	3.2	311.834193
B5	4.2	366.1845
B5	5.2	391.05726
B5	6.2	402.30333
B5	7.2	390.25833
B5	8.2	361.14243
B5	9.2	323.891997
B5	10.2	289.749372
B5	11.2	275.133837
B5	12.2	252.639849
B5	13.2	228.502131
B5	14.2	206.461035
B5	15.2	180.828681
B5	16.2	152.612262
B5	17.2	129.323238
B5	18.2	108.367611
B5	19.2	91.251798
B5	20.2	75.639564
B5	21.2	62.877804
B5	22.2	51.892401
B5	23.2	42.837597
B5	24.2	36.428073
B5	25.2	31.0054206
B5	26.21	26.343702
B6	0.54	846.60774
B6	1.54	640.4607
B6	2.2	138.345966
B6	3.2	341.35035
B6	4.2	418.07733
B6	5.2	450.77835
B6	6.2	453.03885
B6	7.2	462.10923
B6	8.2	460.11471
B6	9.2	453.19197
B6	10.2	450.48696
B6	11.2	438.2004
B6	12.2	439.37124
B6	13.2	415.21293
B6	14.2	400.80876
B6	15.2	385.78947
B6	16.2	374.05368
B6	17.2	361.07445
B6	18.2	354.07548
B6	19.2	333.66135
B6	20.2	320.722248
B6	21.2	313.020411
B6	22.2	308.440341
B6	23.2	305.83806
B6	24.2	295.415604
B6	25.2	288.858438
B6	26.21	285.268203
C1	0.54	-103.489617
C1	1.54	643.64355
C1	2.2	131.725143
C1	3.2	242.746713
C1	4.2	338.46747
C1	5.2	399.52506
C1	6.2	421.7829
C1	7.2	416.37222
C1	8.2	387.83877
C1	9.2	349.57164
C1	10.2	308.370117
C1	11.2	276.299925
C1	12.2	253.233354
C1	13.2	233.444211
C1	14.2	223.087326
C1	15.2	203.735433
C1	16.2	189.425511
C1	17.2	178.014573
C1	18.2	164.608521
C1	19.2	154.713768
C1	20.2	142.174197
C1	21.2	132.619542
C1	22.2	121.790856
C1	23.2	108.778659
C1	24.2	100.51107
C1	25.2	89.874081
C1	26.21	78.660219
C2	0.54	611.03889
C2	1.54	286.697763
C2	2.2	85.017141
C2	3.2	158.752242
C2	4.2	219.628167
C2	5.2	270.85212
C2	6.2	293.62806
C2	7.2	313.660314
C2	8.2	317.605464
C2	9.2	305.56185
C2	10.2	298.07679
C2	11.2	284.855571
C2	12.2	275.980947
C2	13.2	263.702901
C2	14.2	255.211737
C2	15.2	256.054227
C2	16.2	251.730006
C2	17.2	243.975006
C2	18.2	227.609976
C2	19.2	208.560429
C2	20.2	184.192503
C2	21.2	158.928462
C2	22.2	137.653032
C2	23.2	118.838544
C2	24.2	104.679069
C2	25.2	90.495207
C2	26.21	76.277553
C3	0.54	881.09373
C3	1.54	674.18472
C3	2.2	84.424626
C3	3.2	151.208079
C3	4.2	210.443541
C3	5.2	271.528653
C3	6.2	283.317276
C3	7.2	287.030535
C3	8.2	267.685374
C3	9.2	247.066941
C3	10.2	229.112433
C3	11.2	210.415689
C3	12.2	199.997853
C3	13.2	190.144383
C3	14.2	178.155747
C3	15.2	165.559218
C3	16.2	155.471745
C3	17.2	136.80579
C3	18.2	116.336088
C3	19.2	101.09088
C3	20.2	85.924905
C3	21.2	73.826544
C3	22.2	60.125901
C3	23.2	49.8564
C3	24.2	41.712495
C3	25.2	34.651386
C3	26.21	28.7899557
C4	0.54	934.41975
C4	1.54	713.28015
C4	2.2	67.775466
C4	3.2	133.765401
C4	4.2	185.90451
C4	5.2	214.941606
C4	6.2	223.070892
C4	7.2	225.703962
C4	8.2	229.054155
C4	9.2	223.428744
C4	10.2	217.245996
C4	11.2	210.900723
C4	12.2	199.888986
C4	13.2	189.806694
C4	14.2	176.592999
C4	15.2	164.887635
C4	16.2	157.305324
C4	17.2	147.671964
C4	18.2	137.281914
C4	19.2	126.391353
C4	20.2	120.465939
C4	21.2	112.621047
C4	22.2	104.526939
C4	23.2	95.361783
C4	24.2	88.019943
C4	25.2	79.859472
C4	26.21	71.143479
C5	0.54	1018.83936
C5	1.54	747.78495
C5	2.2	77.414337
C5	3.2	166.774674
C5	4.2	269.6595
C5	5.2	330.30789
C5	6.2	345.69117
C5	7.2	332.32056
C5	8.2	295.458405
C5	9.2	274.420311
C5	10.2	248.533263
C5	11.2	222.577014
